REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1908,AB,Barley,15,1585,84000,53000,1296
1908,AB,Flaxseed,29,950,1900,2000,56
1908,AB,Oats,18,1675,352000,210000,6316
1908,AB,"Rye, all",23,1665,5000,3000,117
1908,AB,Sugar beets,0.55,18100,38100,2100,208
1908,AB,Tame hay,0.84,5050,101000,20000,846
1908,AB,"Wheat, all",25,1690,186000,110000,4617
1908,BC,Barley,0,0,0,0,0
1908,BC,Oats,0,0,0,0,0
1908,BC,"Wheat, all",0,0,0,0,0
1908,CA,Barley,21,1440,1016850,707100,21353
1908,CA,"Beans, all dry (white and coloured)",59,1395,33800,24200,1988
1908,CA,Buckwheat,27,1320,155700,117950,4269
1908,CA,Corn for grain,20,3935,580600,147600,11834
1908,CA,Corn for silage,0.44,25360,2665000,105100,11812
1908,CA,Flaxseed,38,680,38100,56000,1457
1908,CA,Mixed grains,26,1650,388750,235550,10140
1908,CA,Oats,25,1205,3861650,3200550,96489
1908,CA,"Peas, dry",31,1150,192100,167050,5970
1908,CA,"Rye, all",29,1065,43902,41281,1262
1908,CA,Sugar beets,0.58,22500,98900,4400,578
1908,CA,Tame hay,1.17,3120,10388000,3326000,121884
1908,CA,"Wheat, all",30,1145,3060250,2676250,91228
1908,MA,Barley,18,1390,372000,268000,6705
1908,MA,Flaxseed,38,790,7100,9000,273
1908,MA,Oats,21,1290,690000,535000,14263
1908,MA,"Peas, dry",15,1415,850,600,13
1908,MA,"Rye, all",20,1000,3000,3000,61
1908,MA,Tame hay,0.82,3900,195000,50000,1592
1908,MA,"Wheat, all",31,1145,1368000,1197000,41924
1908,MP,Barley,31,1525,11750,7700,369
1908,MP,Mixed grains,27,1855,20850,11250,556
1908,MP,Oats,31,1120,221450,197450,6786
1908,MP,Tame hay,1.08,3470,2211000,637000,23955
1908,MP,"Wheat, all",38,1085,29950,27650,1150
1908,NB,Barley,32,1215,1700,1400,55
1908,NB,"Beans, all dry (white and coloured)",77,1125,900,800,69
1908,NB,Buckwheat,27,1375,34250,24950,909
1908,NB,Corn for silage,0.39,22860,8000,350,31
1908,NB,Mixed grains,27,1440,3100,2150,85
1908,NB,Oats,33,945,78000,82500,2539
1908,NB,"Peas, dry",43,590,650,1100,28
1908,NB,"Rye, all",29,1260,102,81,3
1908,NB,Tame hay,1.03,3010,845000,281000,8664
1908,NB,"Wheat, all",42,1165,9500,8150,402
1908,NS,Barley,33,1550,6050,3900,202
1908,NS,"Beans, all dry (white and coloured)",81,1200,1500,1250,121
1908,NS,Buckwheat,30,1340,9800,7300,295
1908,NS,Corn for silage,0.33,16920,11000,650,36
1908,NS,Mixed grains,30,1785,5350,3000,161
1908,NS,Oats,34,1210,65450,54200,2224
1908,NS,"Peas, dry",45,915,550,600,25
1908,NS,"Rye, all",27,1000,300,300,8
1908,NS,Tame hay,1.14,3810,988000,259000,11242
1908,NS,"Wheat, all",39,1170,9750,8350,378
1908,ON,Barley,24,1530,459900,301000,11217
1908,ON,"Beans, all dry (white and coloured)",56,1410,24400,17300,1355
1908,ON,Buckwheat,25,1345,63300,47100,1570
1908,ON,Corn for grain,20,4120,552000,134000,10871
1908,ON,Corn for silage,0.43,26060,2241000,86000,9708
1908,ON,Mixed grains,24,1770,301600,170400,7315
1908,ON,Oats,26,1275,1601100,1257900,41425
1908,ON,"Peas, dry",30,1195,171300,143500,5123
