發生或發現時間,發生或發現地點,發生或發現管轄機關
1131014  2149,臺南市東區前鋒路16號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131004  0730,臺南市東區崇德路353號,AC1M1  臺南市政府警察局第一分局文化派出所
1131101  1324,臺南市東區北門路2段34號東區北門路2段34號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131031  2103,臺南市中西區中西區武聖路151巷9弄7號(惡魔島娃娃機店),AC2N1  臺南市政府警察局第二分局長樂派出所
1131031  0410,臺南市中西區民族路3段173號,AC2N1  臺南市政府警察局第二分局長樂派出所
1131101  1032,臺南市中西區中西區中山路125號(臺南醫院機車停車場),AC2Q1  臺南市政府警察局第二分局民權派出所
1131101  0041,臺南市中西區大同路1段24號,AC2O1  臺南市政府警察局第二分局中正派出所
1131029  1700,臺南市安南區北安路三段907號,AC3T1  臺南市政府警察局第三分局安順派出所
1131030  1709,臺南市中西區海安路2段296巷48號2樓,AC5N1  臺南市政府警察局第五分局立人派出所
1131101  0700,臺南市北區北園街126號,AC5R1  臺南市政府警察局第五分局開元派出所
1131101  0905,臺南市南區西門路一段677號,AC6P1  臺南市政府警察局第六分局金華派出所
1131030  0001,臺南市善化區中山路42號,AC9Y1  臺南市政府警察局善化分局善化派出所
1130814  1300,臺南市歸仁區六甲三街21號,ACAM1  臺南市政府警察局歸仁分局歸南派出所
1131029  1937,臺南市永康區復國一路311號,ACBM1  臺南市政府警察局永康分局永信派出所
1130210  1931,臺南市永康區王行路563號,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1121120  1548,臺南市永康區王行路866巷永科北路口,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131030  2126,臺南市永康區新興街2號前,ACBN1  臺南市政府警察局永康分局大橋派出所
1131031  1248,臺南市永康區民族路142號,ACBR1  臺南市政府警察局永康分局大灣派出所
1131028  2300,臺南市永康區中正北路1069號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1130819  0951,臺南市鹽水區月津路127巷53號,ACDU1  臺南市政府警察局新營分局鹽水分駐所
1131029  0942,臺南市新營區民治路227號,ACDW1  臺南市政府警察局新營分局民治派出所
1131101  1617,臺南市白河區白河區庄內里愛國街157巷14號,ACFM1  臺南市政府警察局白河分局玉豐派出所
1130623  0900,臺南市麻豆區安業76號之2,ACGO1  臺南市政府警察局麻豆分局埤頭派出所
1130314  2232,臺南市官田區隆田里文化街61號,ACGW1  臺南市政府警察局麻豆分局官田分駐所
1130620  0150,臺南市麻豆區磚子井段471之1地號,ACGO1  臺南市政府警察局麻豆分局埤頭派出所
1130814  1700,臺南市官田區渡拔里24鄰拔子林85號之4,ACGW1  臺南市政府警察局麻豆分局官田分駐所
1130209  2337,臺南市麻豆區麻佳路一段243號,ACGO1  臺南市政府警察局麻豆分局埤頭派出所
1131101  0830,臺南市東區東寧路296巷6弄17號東區東寧路296巷6弄17號2樓陽台,AC1Q1  臺南市政府警察局第一分局東門派出所
1131031  1736,臺南市中西區中西區友愛街197號(友愛7-11門市前),AC2M1  臺南市政府警察局第二分局海安派出所
1131102  0302,臺南市北區公園路317號(對面人行道),AC5O1  臺南市政府警察局第五分局北門派出所
1131102  1117,臺南市北區開元路333巷10-2號,AC5R1  臺南市政府警察局第五分局開元派出所
1131101  2252,臺南市北區南園街75巷20號(2號房),AC5R1  臺南市政府警察局第五分局開元派出所
1131102  1823,臺南市北區公園路675號之1,AC5P1  臺南市政府警察局第五分局公園派出所
